,name,date,pageviews
95,Uniform_Resource_Name,201511,6925.0
96,Uniform_Resource_Name,201512,7171.0
97,Uniform_Resource_Name,201601,7118.0
98,Uniform_Resource_Name,201602,7143.0
99,Uniform_Resource_Name,201603,7709.0
100,Uniform_Resource_Name,201604,6769.0
101,Uniform_Resource_Name,201605,6182.0
102,Uniform_Resource_Name,201606,6071.0
103,Uniform_Resource_Name,201607,6665.0
104,Uniform_Resource_Name,201608,7419.0
105,Uniform_Resource_Name,201609,7345.0
106,Uniform_Resource_Name,201610,8266.0
107,Uniform_Resource_Name,201611,9107.0
108,Uniform_Resource_Name,201612,6625.0
